CMDLINE /Users/benfourcin/miniconda3/envs/ben-wk/bin/python memory_profile.py
MEM 234.714844 1645013974.3001
MEM 234.835938 1645013974.4011
MEM 235.277344 1645013974.5030
MEM 235.730469 1645013974.6036
MEM 236.464844 1645013974.7042
MEM 237.410156 1645013974.8076
MEM 238.269531 1645013974.9099
MEM 239.445312 1645013975.0150
MEM 239.457031 1645013975.1186
MEM 239.480469 1645013975.2190
MEM 239.480469 1645013975.3207
MEM 239.484375 1645013975.4245
MEM 239.484375 1645013975.5248
MEM 239.500000 1645013975.6294
MEM 239.500000 1645013975.7310
MEM 239.500000 1645013975.8358
MEM 239.500000 1645013975.9362
MEM 239.500000 1645013976.0381
MEM 239.500000 1645013976.1422
MEM 239.500000 1645013976.2454
MEM 239.500000 1645013976.3457
MEM 239.500000 1645013976.4505
MEM 239.500000 1645013976.5520
MEM 239.500000 1645013976.6530
MEM 239.500000 1645013976.7558
MEM 239.500000 1645013976.8604
MEM 239.500000 1645013976.9605
MEM 239.500000 1645013977.0655
MEM 239.500000 1645013977.1705
MEM 239.500000 1645013977.2714
MEM 239.500000 1645013977.3723
MEM 239.500000 1645013977.4760
MEM 239.500000 1645013977.5793
MEM 239.503906 1645013977.6838
MEM 239.503906 1645013977.7862
MEM 239.503906 1645013977.8913
MEM 239.503906 1645013977.9927
MEM 239.503906 1645013978.0977
MEM 239.503906 1645013978.1980
MEM 239.527344 1645013978.3008
MEM 241.101562 1645013978.4010
MEM 241.121094 1645013978.5052
MEM 241.125000 1645013978.6054
MEM 241.128906 1645013978.7066
MEM 241.128906 1645013978.8094
MEM 241.140625 1645013978.9102
MEM 241.152344 1645013979.0152
MEM 241.152344 1645013979.1172
MEM 241.167969 1645013979.2214
MEM 241.167969 1645013979.3261
MEM 241.179688 1645013979.4264
MEM 242.011719 1645013979.5276
MEM 242.019531 1645013979.6304
MEM 242.019531 1645013979.7341
MEM 242.019531 1645013979.8387
MEM 242.019531 1645013979.9430
MEM 242.019531 1645013980.0481
MEM 242.019531 1645013980.1493
MEM 242.019531 1645013980.2528
MEM 242.019531 1645013980.3534
MEM 242.019531 1645013980.4586
MEM 242.023438 1645013980.5594
MEM 242.023438 1645013980.6604
MEM 242.023438 1645013980.7606
MEM 242.023438 1645013980.8609
MEM 242.023438 1645013980.9625
MEM 242.023438 1645013981.0673
MEM 242.023438 1645013981.1708
MEM 249.492188 1645013981.2755
MEM 249.222656 1645013981.3758
MEM 237.578125 1645013981.4793
MEM 236.039062 1645013981.5844
MEM 242.050781 1645013981.6888
MEM 239.613281 1645013981.7922
MEM 237.105469 1645013981.8970
MEM 237.105469 1645013982.0010
MEM 232.230469 1645013982.1046
MEM 232.230469 1645013982.2088
MEM 229.242188 1645013982.3109
MEM 227.523438 1645013982.4112
MEM 227.519531 1645013982.5164
MEM 218.238281 1645013982.6202
MEM 218.238281 1645013982.7219
MEM 218.238281 1645013982.8255
MEM 170.468750 1645013982.9295
MEM 170.468750 1645013983.0324
MEM 170.468750 1645013983.1374
MEM 170.484375 1645013983.2422
MEM 170.488281 1645013983.3439
MEM 170.492188 1645013983.4454
MEM 170.492188 1645013983.5500
MEM 170.492188 1645013983.6503
MEM 170.406250 1645013983.7507
MEM 170.406250 1645013983.8546
MEM 170.406250 1645013983.9549
MEM 170.414062 1645013984.0568
MEM 170.414062 1645013984.1576
MEM 170.503906 1645013984.2582
MEM 170.503906 1645013984.3589
MEM 170.503906 1645013984.4591
MEM 170.507812 1645013984.5596
MEM 168.511719 1645013984.6601
MEM 168.511719 1645013984.7604
MEM 164.058594 1645013984.8608
MEM 163.621094 1645013984.9617
MEM 163.621094 1645013985.0651
MEM 163.621094 1645013985.1699
MEM 163.632812 1645013985.2737
MEM 163.648438 1645013985.3761
MEM 163.582031 1645013985.4799
MEM 163.328125 1645013985.5849
MEM 163.328125 1645013985.6888
MEM 163.328125 1645013985.7931
MEM 161.261719 1645013985.8974
MEM 160.656250 1645013986.0016
MEM 159.996094 1645013986.1032
MEM 159.996094 1645013986.2084
MEM 160.019531 1645013986.3122
MEM 160.039062 1645013986.4149
MEM 160.039062 1645013986.5199
MEM 160.039062 1645013986.6251
MEM 160.039062 1645013986.7282
MEM 160.039062 1645013986.8288
MEM 160.039062 1645013986.9309
MEM 160.039062 1645013987.0320
MEM 160.039062 1645013987.1364
MEM 160.039062 1645013987.2383
MEM 160.046875 1645013987.3418
MEM 160.050781 1645013987.4429
MEM 160.050781 1645013987.5434
MEM 160.050781 1645013987.6475
MEM 160.050781 1645013987.7527
MEM 160.050781 1645013987.8544
MEM 160.050781 1645013987.9567
MEM 160.050781 1645013988.0602
MEM 160.050781 1645013988.1627
MEM 160.062500 1645013988.2630
MEM 160.062500 1645013988.3660
MEM 160.062500 1645013988.4700
MEM 160.062500 1645013988.5703
MEM 160.062500 1645013988.6718
MEM 160.062500 1645013988.7751
MEM 160.062500 1645013988.8799
MEM 160.062500 1645013988.9891
MEM 160.062500 1645013989.0928
MEM 160.062500 1645013989.1950
MEM 160.070312 1645013989.2955
MEM 160.074219 1645013989.3959
MEM 160.074219 1645013989.5004
MEM 160.074219 1645013989.6019
MEM 160.074219 1645013989.7035
MEM 160.074219 1645013989.8084
MEM 160.074219 1645013989.9099
MEM 160.074219 1645013990.0136
MEM 160.074219 1645013990.1160
